,open_time,close_time,open,high,low,close,volume,num_trades,MA_20,STD_20,Price_Change,Price_Change%,Change,bollinger_up,bollinger_down,above_bound,below_bound,cross_bounds
2020-10-24 02:59:59.999,2020-10-23 00:00:00.000,2020-10-23 23:59:59.999,0.02,0.58499,0.02,0.19226,22557016.0,41500,,,,,,,,False,False,neutral
2020-10-25 02:59:59.999,2020-10-24 00:00:00.000,2020-10-24 23:59:59.999,0.19078,0.3,0.14786,0.23827,93222275.2,110596,,,0.05,23.93,Increase,,,False,False,neutral
2020-10-26 01:59:59.999,2020-10-25 00:00:00.000,2020-10-25 23:59:59.999,0.23823,0.26399,0.18101,0.18508,28174633.4,39295,,,-0.05,-22.32,Decrease,,,False,False,neutral
2020-10-27 01:59:59.999,2020-10-26 00:00:00.000,2020-10-26 23:59:59.999,0.18509,0.2055,0.15952,0.16585,21474177.2,24428,,,-0.02,-10.39,Decrease,,,False,False,neutral
2020-10-28 01:59:59.999,2020-10-27 00:00:00.000,2020-10-27 23:59:59.999,0.16588,0.186,0.155,0.15999,15180221.7,16557,,,-0.01,-3.53,Neutral,,,False,False,neutral
2020-10-29 01:59:59.999,2020-10-28 00:00:00.000,2020-10-28 23:59:59.999,0.16,0.16054,0.11,0.1153,15904797.6,18043,,,-0.04,-27.93,Decrease,,,False,False,neutral
2020-10-30 01:59:59.999,2020-10-29 00:00:00.000,2020-10-29 23:59:59.999,0.1156,0.11747,0.0925,0.10044,6753447.6,7438,,,-0.01,-12.89,Decrease,,,False,False,neutral
2020-10-31 01:59:59.999,2020-10-30 00:00:00.000,2020-10-30 23:59:59.999,0.10038,0.145,0.0962,0.12119,28534331.9,29366,,,0.02,20.66,Increase,,,False,False,neutral
2020-11-01 01:59:59.999,2020-10-31 00:00:00.000,2020-10-31 23:59:59.999,0.12119,0.12337,0.10504,0.11159,14157397.4,12253,,,-0.01,-7.92,Decrease,,,False,False,neutral
2020-11-02 01:59:59.999,2020-11-01 00:00:00.000,2020-11-01 23:59:59.999,0.11159,0.11322,0.09958,0.10093,4693233.8,4099,,,-0.01,-9.55,Decrease,,,False,False,neutral
2020-11-03 01:59:59.999,2020-11-02 00:00:00.000,2020-11-02 23:59:59.999,0.10092,0.10225,0.093,0.09329,3065374.7,2483,,,-0.01,-7.57,Decrease,,,False,False,neutral
2020-11-04 01:59:59.999,2020-11-03 00:00:00.000,2020-11-03 23:59:59.999,0.09386,0.09487,0.077,0.08231,8267809.5,6067,,,-0.01,-11.77,Decrease,,,False,False,neutral
2020-11-05 01:59:59.999,2020-11-04 00:00:00.000,2020-11-04 23:59:59.999,0.08201,0.11755,0.08053,0.09978,24759550.8,18957,,,0.02,21.22,Increase,,,False,False,neutral
2020-11-06 01:59:59.999,2020-11-05 00:00:00.000,2020-11-05 23:59:59.999,0.0998,0.10481,0.086,0.09298,11010390.4,8457,,,-0.01,-6.81,Decrease,,,False,False,neutral
2020-11-07 01:59:59.999,2020-11-06 00:00:00.000,2020-11-06 23:59:59.999,0.09255,0.10193,0.09155,0.09848,5072466.9,3446,,,0.01,5.92,Increase,,,False,False,neutral
2020-11-08 01:59:59.999,2020-11-07 00:00:00.000,2020-11-07 23:59:59.999,0.09927,0.11589,0.09421,0.1015,6779745.0,5744,,,0.0,3.07,Neutral,,,False,False,neutral
2020-11-09 01:59:59.999,2020-11-08 00:00:00.000,2020-11-08 23:59:59.999,0.1015,0.12822,0.09805,0.12553,8523646.9,6400,,,0.02,23.67,Increase,,,False,False,neutral
2020-11-10 01:59:59.999,2020-11-09 00:00:00.000,2020-11-09 23:59:59.999,0.12553,0.15226,0.11632,0.12446,18754378.0,18455,,,-0.0,-0.85,Neutral,,,False,False,neutral
2020-11-11 01:59:59.999,2020-11-10 00:00:00.000,2020-11-10 23:59:59.999,0.12443,0.15288,0.122,0.13954,9428817.7,7583,,,0.02,12.12,Increase,,,False,False,neutral
2020-11-12 01:59:59.999,2020-11-11 00:00:00.000,2020-11-11 23:59:59.999,0.13936,0.15288,0.12798,0.13142,7393923.0,5835,0.1290095,0.0403955119282745,-0.01,-5.82,Decrease,0.212211023856549,0.05062897614345101,False,False,neutral
2020-11-13 01:59:59.999,2020-11-12 00:00:00.000,2020-11-12 23:59:59.999,0.13142,0.16432,0.1286,0.1515,11004540.7,11198,0.1269715,0.0379932668931026,0.02,15.28,Increase,0.2274865337862052,0.0755134662137948,False,False,neutral
2020-11-14 01:59:59.999,2020-11-13 00:00:00.000,2020-11-13 23:59:59.999,0.15151,0.1737,0.14515,0.15053,11919564.4,13058,0.12258450000000001,0.028292652658838537,-0.0,-0.64,Neutral,0.20711530531767708,0.09394469468232292,False,False,neutral
2020-11-15 01:59:59.999,2020-11-14 00:00:00.000,2020-11-14 23:59:59.999,0.15092,0.15736,0.12739,0.12908,9823933.8,8491,0.11978449999999999,0.024266842978803275,-0.02,-14.25,Decrease,0.17761368595760654,0.08054631404239346,False,False,neutral
2020-11-16 01:59:59.999,2020-11-15 00:00:00.000,2020-11-15 23:59:59.999,0.12909,0.14848,0.12619,0.147,11560736.0,10103,0.118842,0.02269894586005909,0.02,13.88,Increase,0.19239789172011817,0.10160210827988181,False,False,neutral
2020-11-17 01:59:59.999,2020-11-16 00:00:00.000,2020-11-16 23:59:59.999,0.14729,0.15483,0.13593,0.1418,9178276.7,7311,0.1179325,0.021283758046429357,-0.01,-3.54,Neutral,0.18436751609285873,0.09923248390714129,False,False,neutral
2020-11-18 01:59:59.999,2020-11-17 00:00:00.000,2020-11-17 23:59:59.999,0.14233,0.194,0.1411,0.18932,25645357.1,25080,0.12163349999999999,0.02657884581767988,0.05,33.51,Increase,0.24247769163535976,0.13616230836464022,False,False,neutral
2020-11-19 01:59:59.999,2020-11-18 00:00:00.000,2020-11-18 23:59:59.999,0.18889,0.19199,0.13515,0.1507,17658912.9,16693,0.1241465,0.026844248090164773,-0.04,-20.4,Decrease,0.20438849618032956,0.09701150381967046,False,False,neutral
2020-11-20 01:59:59.999,2020-11-19 00:00:00.000,2020-11-19 23:59:59.999,0.15069,0.15725,0.13721,0.1399,9583353.8,7107,0.125082,0.027060933309458243,-0.01,-7.17,Decrease,0.1940218666189165,0.0857781333810835,False,False,neutral
2020-11-21 01:59:59.999,2020-11-20 00:00:00.000,2020-11-20 23:59:59.999,0.13983,0.1493,0.13581,0.13805,6061359.9,5825,0.12640500000000002,0.027013365600247426,-0.0,-1.32,Neutral,0.19207673120049484,0.08402326879950515,False,False,neutral
2020-11-22 01:59:59.999,2020-11-21 00:00:00.000,2020-11-21 23:59:59.999,0.1371,0.14016,0.12879,0.13495,7465476.7,7534,0.128106,0.02638868365915885,-0.0,-2.25,Neutral,0.18772736731831768,0.08217263268168229,False,False,neutral
2020-11-23 01:59:59.999,2020-11-22 00:00:00.000,2020-11-22 23:59:59.999,0.13528,0.1429,0.12642,0.12741,7306068.2,7262,0.12981199999999998,0.025090375298739122,-0.01,-5.59,Decrease,0.17759075059747825,0.07722924940252175,False,False,neutral
2020-11-24 01:59:59.999,2020-11-23 00:00:00.000,2020-11-23 23:59:59.999,0.12773,0.139,0.122,0.13602,8148108.9,8291,0.1324975,0.022476739760542618,0.01,6.76,Increase,0.18097347952108522,0.09106652047891477,False,False,neutral
2020-11-25 01:59:59.999,2020-11-24 00:00:00.000,2020-11-24 23:59:59.999,0.13508,0.13587,0.1212,0.1243,5993493.7,6429,0.1337235,0.021232516591056114,-0.01,-8.62,Decrease,0.16676503318211222,0.08183496681788777,False,False,neutral
2020-11-26 01:59:59.999,2020-11-25 00:00:00.000,2020-11-25 23:59:59.999,0.12451,0.12924,0.1168,0.12,4684054.2,4781,0.13507450000000001,0.01927279661104028,-0.0,-3.46,Neutral,0.15854559322208056,0.08145440677791943,False,False,neutral
2020-11-27 01:59:59.999,2020-11-26 00:00:00.000,2020-11-26 23:59:59.999,0.12002,0.12107,0.09,0.09987,7076857.6,5607,0.135144,0.019135907113398905,-0.02,-16.77,Decrease,0.1381418142267978,0.06159818577320219,False,False,neutral
2020-11-28 01:59:59.999,2020-11-27 00:00:00.000,2020-11-27 23:59:59.999,0.10076,0.15849,0.10032,0.12736,43027223.3,38393,0.136437,0.017550994603695448,0.03,27.53,Increase,0.1624619892073909,0.0922580107926091,False,False,neutral
