,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,MA_20,MA_20_std,bollinger_up,bollinger_down
2021-01-08 00:59:59.999,2021-01-07 22:00:00,0.18199,0.18292,0.18,0.18061,89827.2,2021-01-07 22:59:59.999,16274.53090700,129,49488.10000000,8972.24630100,0,,,,
2021-01-08 01:59:59.999,2021-01-07 23:00:00,0.18061,0.18081,0.17331,0.17779,177473.6,2021-01-07 23:59:59.999,31436.43879800,225,74976.20000000,13275.12876300,0,,,,
2021-01-08 02:59:59.999,2021-01-08 00:00:00,0.1776,0.18212,0.17738,0.18,139914.3,2021-01-08 00:59:59.999,25077.15610100,183,76587.60000000,13717.64813100,0,,,,
2021-01-08 03:59:59.999,2021-01-08 01:00:00,0.18001,0.18001,0.17135,0.17923,316666.4,2021-01-08 01:59:59.999,55651.72205900,296,160881.60000000,28176.69639100,0,,,,
2021-01-08 04:59:59.999,2021-01-08 02:00:00,0.17923,0.17924,0.16617,0.1713,402066.7,2021-01-08 02:59:59.999,68610.15642800,453,225322.30000000,38440.32789800,0,,,,
2021-01-08 05:59:59.999,2021-01-08 03:00:00,0.17132,0.18061,0.1713,0.1806,170082.0,2021-01-08 03:59:59.999,30340.86980200,246,87873.60000000,15680.85316100,0,,,,
2021-01-08 06:59:59.999,2021-01-08 04:00:00,0.17839,0.18307,0.17836,0.18145,244362.7,2021-01-08 04:59:59.999,44160.20264900,413,119227.00000000,21567.90534300,0,,,,
2021-01-08 07:59:59.999,2021-01-08 05:00:00,0.18115,0.18296,0.18,0.1801,248884.8,2021-01-08 05:59:59.999,44948.86132700,221,30838.50000000,5600.39764400,0,,,,
2021-01-08 08:59:59.999,2021-01-08 06:00:00,0.18106,0.18116,0.17557,0.18109,210190.4,2021-01-08 06:59:59.999,37619.44072000,237,129188.80000000,23133.42602100,0,,,,
2021-01-08 09:59:59.999,2021-01-08 07:00:00,0.18109,0.19519,0.18109,0.18857,1390488.5,2021-01-08 07:59:59.999,263631.61248200,1636,649473.70000000,123262.63597600,0,,,,
2021-01-08 10:59:59.999,2021-01-08 08:00:00,0.18872,0.18988,0.1816,0.18605,338282.6,2021-01-08 08:59:59.999,62644.51873300,393,183113.00000000,33979.11846900,0,,,,
2021-01-08 11:59:59.999,2021-01-08 09:00:00,0.18605,0.18739,0.18291,0.18499,141103.2,2021-01-08 09:59:59.999,26106.30208000,269,66500.10000000,12348.12325600,0,,,,
2021-01-08 12:59:59.999,2021-01-08 10:00:00,0.18591,0.18827,0.18293,0.1865,300579.4,2021-01-08 10:59:59.999,55944.72389100,311,160078.70000000,29809.45782600,0,,,,
2021-01-08 13:59:59.999,2021-01-08 11:00:00,0.18532,0.18641,0.181,0.1835,237837.6,2021-01-08 11:59:59.999,43534.29422100,272,65961.60000000,12063.94221400,0,,,,
2021-01-08 14:59:59.999,2021-01-08 12:00:00,0.18259,0.18268,0.17913,0.18103,260503.7,2021-01-08 12:59:59.999,47087.67818000,296,122947.10000000,22235.31943100,0,,,,
2021-01-08 15:59:59.999,2021-01-08 13:00:00,0.18121,0.18199,0.17929,0.18193,271125.6,2021-01-08 13:59:59.999,49061.18060200,191,140338.60000000,25391.01750900,0,,,,
2021-01-08 16:59:59.999,2021-01-08 14:00:00,0.18194,0.18342,0.17912,0.17912,218626.8,2021-01-08 14:59:59.999,39652.33201100,192,87013.10000000,15830.51277100,0,,,,
2021-01-08 17:59:59.999,2021-01-08 15:00:00,0.17973,0.18033,0.1766,0.18005,288839.0,2021-01-08 15:59:59.999,51641.47857400,384,190955.30000000,34160.02648200,0,,,,
2021-01-08 18:59:59.999,2021-01-08 16:00:00,0.18007,0.18607,0.17869,0.18556,142935.0,2021-01-08 16:59:59.999,26222.16459900,324,80325.10000000,14680.20402500,0,,,,
2021-01-08 19:59:59.999,2021-01-08 17:00:00,0.18515,0.18687,0.18032,0.18479,438405.8,2021-01-08 17:59:59.999,80504.46248500,315,252118.80000000,46519.46523700,0,0.18171299999999999,0.0038070586795416798,0.18932711735908334,0.17409888264091664
2021-01-08 20:59:59.999,2021-01-08 18:00:00,0.18479,0.188,0.1838,0.18503,215046.5,2021-01-08 18:59:59.999,40036.56855100,224,129472.40000000,24124.99736100,0,0.18193399999999998,0.003867470817771706,0.1896689416355434,0.17419905836445657
2021-01-08 21:59:59.999,2021-01-08 19:00:00,0.18503,0.18873,0.18219,0.18227,246660.9,2021-01-08 19:59:59.999,45850.44630100,375,108518.90000000,20237.72851300,0,0.182158,0.00374254290134676,0.1896430858026935,0.17467291419730646
2021-01-08 22:59:59.999,2021-01-08 20:00:00,0.18227,0.18643,0.17929,0.186,379588.0,2021-01-08 20:59:59.999,68884.84187100,377,236200.20000000,42853.38258200,0,0.182458,0.003800484179680268,0.19005896835936054,0.17485703164063948
2021-01-08 23:59:59.999,2021-01-08 21:00:00,0.18601,0.18651,0.17875,0.18559,224094.0,2021-01-08 21:59:59.999,41097.86549600,254,83220.40000000,15243.52923500,0,0.182776,0.003782208210472879,0.19034041642094576,0.17521158357905423
2021-01-09 00:59:59.999,2021-01-08 22:00:00,0.18559,0.18562,0.1805,0.18219,221862.2,2021-01-08 22:59:59.999,40412.07975200,189,191638.80000000,34886.34304500,0,0.1833205,0.0026607487569044437,0.1886419975138089,0.1779990024861911
2021-01-09 01:59:59.999,2021-01-08 23:00:00,0.1824,0.19199,0.1823,0.19166,213416.2,2021-01-08 23:59:59.999,40273.65042900,237,94372.90000000,17767.38539200,0,0.1838735,0.0031667853117201532,0.1902070706234403,0.17753992937655969
2021-01-09 02:59:59.999,2021-01-09 00:00:00,0.19172,0.1945,0.18125,0.18127,233801.7,2021-01-09 00:59:59.999,44056.36179100,281,113018.70000000,21342.36956200,0,0.1838645,0.0031742823059543604,0.1902130646119087,0.17751593538809127
2021-01-09 03:59:59.999,2021-01-09 01:00:00,0.18127,0.18127,0.1739,0.17928,309973.7,2021-01-09 01:59:59.999,55109.85321700,398,178432.50000000,31798.64408900,0,0.18382349999999997,0.003230266853894367,0.1902840337077887,0.17736296629221124
