,open_time,close_time,open,high,low,close,volume,num_trades,MA_10,STD_10,Price_Change,Price_Change%,Change,upper_bound,lower_bound,above_bound,below_bound
2020-12-10 01:59:59.999,2020-12-09 00:00:00.000,2020-12-09 23:59:59.999,554.92,578.08,530.43,573.09,997192.16738,535975,,,,,,,,False,False
2020-12-11 01:59:59.999,2020-12-10 00:00:00.000,2020-12-10 23:59:59.999,573.2,575.7,548.11,558.99,608414.51466,376548,,,-14.1,-2.46,Neutral,,,False,False
2020-12-12 01:59:59.999,2020-12-11 00:00:00.000,2020-12-11 23:59:59.999,558.99,560.8,535.5,544.43,768921.78317,400545,,,-14.56,-2.6,Neutral,,,False,False
2020-12-13 01:59:59.999,2020-12-12 00:00:00.000,2020-12-12 23:59:59.999,544.46,574.0,543.1,568.04,573913.95311,321104,,,23.61,4.34,Neutral,,,False,False
2020-12-14 01:59:59.999,2020-12-13 00:00:00.000,2020-12-13 23:59:59.999,568.09,595.0,563.22,590.7,657794.46158,359525,,,22.66,3.99,Neutral,,,False,False
2020-12-15 01:59:59.999,2020-12-14 00:00:00.000,2020-12-14 23:59:59.999,590.81,591.48,575.6,586.29,493012.02706,272746,,,-4.41,-0.75,Neutral,,,False,False
2020-12-16 01:59:59.999,2020-12-15 00:00:00.000,2020-12-15 23:59:59.999,586.29,597.2,578.58,588.64,569270.52011,329161,,,2.35,0.4,Neutral,,,False,False
2020-12-17 01:59:59.999,2020-12-16 00:00:00.000,2020-12-16 23:59:59.999,588.78,640.0,580.71,637.18,1185588.05078,589563,,,48.54,8.25,Increase,,,False,False
2020-12-18 01:59:59.999,2020-12-17 00:00:00.000,2020-12-17 23:59:59.999,637.18,676.25,625.76,642.7,2006130.01975,974504,,,5.52,0.87,Neutral,,,False,False
2020-12-19 01:59:59.999,2020-12-18 00:00:00.000,2020-12-18 23:59:59.999,642.71,664.61,629.4,653.85,1000012.98018,554335,594.391,37.579241447610144,11.15,1.73,Neutral,669.5494828952203,519.2325171047796,False,False
2020-12-20 01:59:59.999,2020-12-19 00:00:00.000,2020-12-19 23:59:59.999,653.76,669.95,645.42,658.03,858803.88459,562281,602.885,41.61263676924225,4.18,0.64,Neutral,686.1102735384845,519.6597264615154,False,False
2020-12-21 01:59:59.999,2020-12-20 00:00:00.000,2020-12-20 23:59:59.999,658.05,661.39,621.01,638.18,823958.22843,505181,610.804,39.82791349459994,-19.85,-3.02,Neutral,690.4598269891999,531.1481730108001,False,False
2020-12-22 01:59:59.999,2020-12-21 00:00:00.000,2020-12-21 23:59:59.999,638.1,648.0,595.9,607.58,843251.16565,521589,617.1189999999999,32.45930493197087,-30.6,-4.79,Neutral,682.0376098639416,552.2003901360582,False,False
2020-12-23 01:59:59.999,2020-12-22 00:00:00.000,2020-12-22 23:59:59.999,607.68,637.73,588.0,636.45,918851.25654,522945,623.9599999999999,27.84761070939881,28.87,4.75,Neutral,679.6552214187975,568.2647785812023,False,False
2020-12-24 01:59:59.999,2020-12-23 00:00:00.000,2020-12-23 23:59:59.999,636.41,638.44,551.28,585.56,1208807.36518,733896,623.446,28.56784369414911,-50.89,-8.0,Decrease,680.5816873882983,566.3103126117018,False,True
2020-12-25 01:59:59.999,2020-12-24 00:00:00.000,2020-12-24 23:59:59.999,585.48,615.02,565.43,612.31,886335.86333,571510,626.048,25.864676383911053,26.75,4.57,Neutral,677.7773527678221,574.3186472321779,False,True
