,open_time,close_time,open,high,low,close,volume,num_trades,MA_20,STD_20,Price_Change,Price_Change%,Change,bollinger_up,bollinger_down,above_bound,below_bound,cross_bounds
2020-08-20 02:59:59.999,2020-08-19 00:00:00.000,2020-08-19 23:59:59.999,50.42,50.42,37.77,42.079,11838.172,4880,,,,,,,,False,False,neutral
2020-08-21 02:59:59.999,2020-08-20 00:00:00.000,2020-08-20 23:59:59.999,42.281,53.88,39.542,46.93,62972.514,18560,,,4.85,11.53,Increase,,,False,False,neutral
2020-08-22 02:59:59.999,2020-08-21 00:00:00.000,2020-08-21 23:59:59.999,46.952,52.1,41.352,41.896,47528.204,19241,,,-5.03,-10.73,Decrease,,,False,False,neutral
2020-08-23 02:59:59.999,2020-08-22 00:00:00.000,2020-08-22 23:59:59.999,42.181,51.0,41.072,47.978,19932.147,8238,,,6.08,14.52,Increase,,,False,False,neutral
2020-08-24 02:59:59.999,2020-08-23 00:00:00.000,2020-08-23 23:59:59.999,48.048,48.057,42.828,43.591,17284.855,6039,,,-4.39,-9.14,Decrease,,,False,False,neutral
2020-08-25 02:59:59.999,2020-08-24 00:00:00.000,2020-08-24 23:59:59.999,43.283,46.999,42.815,44.729,11956.428,4196,,,1.14,2.61,Neutral,,,False,False,neutral
2020-08-26 02:59:59.999,2020-08-25 00:00:00.000,2020-08-25 23:59:59.999,44.728,45.159,40.1,42.231,13036.036,3459,,,-2.5,-5.58,Decrease,,,False,False,neutral
2020-08-27 02:59:59.999,2020-08-26 00:00:00.000,2020-08-26 23:59:59.999,41.878,44.307,38.622,43.708,12766.289,2885,,,1.48,3.5,Neutral,,,False,False,neutral
2020-08-28 02:59:59.999,2020-08-27 00:00:00.000,2020-08-27 23:59:59.999,43.709,67.5,38.694,52.437,77689.364,20006,,,8.73,19.97,Increase,,,False,False,neutral
2020-08-29 02:59:59.999,2020-08-28 00:00:00.000,2020-08-28 23:59:59.999,52.497,64.8,50.0,54.69,144901.117,45207,,,2.25,4.3,Neutral,,,False,False,neutral
2020-08-30 02:59:59.999,2020-08-29 00:00:00.000,2020-08-29 23:59:59.999,54.69,55.958,51.006,52.45,40002.97,13469,,,-2.24,-4.1,Neutral,,,False,False,neutral
2020-08-31 02:59:59.999,2020-08-30 00:00:00.000,2020-08-30 23:59:59.999,52.45,53.5,47.947,51.355,46303.342,13355,,,-1.1,-2.09,Neutral,,,False,False,neutral
