,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,MA_20,MA_20_std
2021-01-08 00:59:59.999,2021-01-07 22:00:00,28.581,28.762,28.166,28.314,205.833,2021-01-07 22:59:59.999,5851.09548200,142,86.39600000,2463.24076700,0,,
2021-01-08 01:59:59.999,2021-01-07 23:00:00,28.263,28.881,27.819,28.408,789.396,2021-01-07 23:59:59.999,22343.12251600,411,370.36000000,10531.48966100,0,,
2021-01-08 02:59:59.999,2021-01-08 00:00:00,28.277,28.424,27.801,27.801,475.686,2021-01-08 00:59:59.999,13394.43728600,144,49.72400000,1404.25348700,0,,
2021-01-08 03:59:59.999,2021-01-08 01:00:00,28.083,28.828,27.8,28.82,622.456,2021-01-08 01:59:59.999,17487.14753800,245,385.13200000,10836.46270300,0,,
2021-01-08 04:59:59.999,2021-01-08 02:00:00,28.521,28.591,26.555,27.02,1363.624,2021-01-08 02:59:59.999,37357.69552800,444,340.40800000,9334.63531700,0,,
2021-01-08 05:59:59.999,2021-01-08 03:00:00,27.02,27.222,26.5,26.769,352.485,2021-01-08 03:59:59.999,9459.54587500,143,219.44000000,5909.97544900,0,,
2021-01-08 06:59:59.999,2021-01-08 04:00:00,26.605,27.215,26.5,26.662,625.404,2021-01-08 04:59:59.999,16658.28906800,164,99.87900000,2674.33996800,0,,
2021-01-08 07:59:59.999,2021-01-08 05:00:00,26.586,26.975,26.237,26.878,1390.367,2021-01-08 05:59:59.999,37054.12653700,545,644.11600000,17197.47847200,0,,
2021-01-08 08:59:59.999,2021-01-08 06:00:00,26.888,27.211,26.399,26.957,1408.665,2021-01-08 06:59:59.999,37688.65811700,547,760.85100000,20376.98169800,0,,
2021-01-08 09:59:59.999,2021-01-08 07:00:00,26.993,27.499,26.854,27.436,810.12,2021-01-08 07:59:59.999,22012.46899000,470,335.60800000,9135.03732000,0,,
2021-01-08 10:59:59.999,2021-01-08 08:00:00,27.364,27.5,26.952,27.167,704.256,2021-01-08 08:59:59.999,19205.61626100,321,395.32200000,10786.13974900,0,,
2021-01-08 11:59:59.999,2021-01-08 09:00:00,27.072,27.45,26.809,27.077,1381.298,2021-01-08 09:59:59.999,37444.31478300,472,626.39400000,17021.21835600,0,,
2021-01-08 12:59:59.999,2021-01-08 10:00:00,26.995,27.5,26.995,27.15,608.492,2021-01-08 10:59:59.999,16570.99190900,217,224.91800000,6131.37956400,0,,
2021-01-08 13:59:59.999,2021-01-08 11:00:00,27.169,27.61,27.031,27.426,523.282,2021-01-08 11:59:59.999,14316.97204100,216,341.68100000,9365.59906600,0,,
2021-01-08 14:59:59.999,2021-01-08 12:00:00,27.364,27.775,27.0,27.677,943.492,2021-01-08 12:59:59.999,25762.84475100,427,482.65800000,13210.89155700,0,,
2021-01-08 15:59:59.999,2021-01-08 13:00:00,27.555,27.7,27.183,27.493,408.061,2021-01-08 13:59:59.999,11185.25213200,244,183.92100000,5050.70453900,0,,
2021-01-08 16:59:59.999,2021-01-08 14:00:00,27.471,27.995,26.738,27.273,1563.161,2021-01-08 14:59:59.999,42485.49040500,469,458.10400000,12573.43597200,0,,
2021-01-08 17:59:59.999,2021-01-08 15:00:00,27.246,27.437,26.639,27.172,2059.408,2021-01-08 15:59:59.999,55609.71166900,843,978.47600000,26416.76390700,0,,
2021-01-08 18:59:59.999,2021-01-08 16:00:00,27.106,27.949,26.927,27.479,1623.99,2021-01-08 16:59:59.999,44692.12736600,625,579.00600000,15933.40038400,0,,
2021-01-08 19:59:59.999,2021-01-08 17:00:00,27.459,27.673,26.962,27.352,975.729,2021-01-08 17:59:59.999,26609.86882100,366,352.04800000,9616.51866700,0,27.41655,0.5602746953151883
