Date,Total_Tweets
2016/03/16,1185
2016/03/17,1211
2016/03/18,1123
2016/03/19,943
2016/03/20,1304
2016/03/21,2233
2016/03/22,859
2016/03/23,944
2016/03/24,1982
2016/03/25,927
2016/03/26,712
2016/03/27,716
2016/03/28,1298
2016/03/29,1589
2016/03/30,1745
2016/03/31,988
2016/04/01,830
2016/04/02,743
2016/04/03,846
2016/04/04,1000
2016/04/05,1067
2016/04/06,967
2016/04/07,2284
2016/04/08,862
2016/04/09,759
2016/04/10,1073
2016/04/11,891
2016/04/12,1150
2016/04/13,907
2016/04/14,978
2016/04/15,1139
2016/04/16,701
2016/04/17,781
2016/04/18,1014
2016/04/19,962
2016/04/20,984
2016/04/21,883
2016/04/22,924
2016/04/23,607
2016/04/24,543
2016/04/25,923
2016/04/26,894
2016/04/27,735
2016/04/28,935
2016/04/29,916
2016/04/30,951
2016/05/01,773
2016/05/02,1114
2016/05/03,2628
2016/05/04,1261
2016/05/05,1181
2016/05/06,1085
2016/05/07,703
2016/05/08,856
2016/05/09,1110
2016/05/10,970
2016/05/11,1078
2016/05/12,905
2016/05/13,946
2016/05/14,764
2016/05/15,1009
2016/05/16,1588
2016/05/17,1346
2016/05/18,1636
2016/05/19,1929
2016/05/20,1638
2016/05/21,977
2016/05/22,1162
2016/05/23,1236
2016/05/24,1407
2016/05/25,1470
2016/05/26,1380
2016/05/27,1171
2016/05/28,1714
2016/05/29,1409
2016/05/30,3305
2016/05/31,1465
2016/06/01,2023
2016/06/02,1294
2016/06/03,1188
2016/06/04,844
2016/06/05,1091
2016/06/06,1072
2016/06/07,1500
2016/06/08,1673
2016/06/09,1573
2016/06/10,1324
2016/06/11,1086
2016/06/12,1200
2016/06/13,1766
2016/06/14,2136
2016/06/15,1780
2016/06/16,2106
2016/06/17,6219
2016/06/18,4386
2016/06/19,3235
2016/06/20,2649
2016/06/21,2523
2016/06/22,2402
2016/06/23,1877
2016/06/24,1896
2016/06/25,1315
2016/06/26,1175
2016/06/27,1425
2016/06/28,1512
2016/06/29,1945
2016/06/30,1303
2016/07/01,1241
2016/07/02,1326
2016/07/03,1061
2016/07/04,933
2016/07/05,1128
2016/07/06,1020
2016/07/07,1186
2016/07/08,1122
2016/07/09,817
2016/07/10,961
2016/07/11,1236
2016/07/12,1087
2016/07/13,934
2016/07/14,1023
2016/07/15,1280
2016/07/16,1102
2016/07/17,1330
2016/07/18,1377
2016/07/19,1904
2016/07/20,3555
2016/07/21,2207
2016/07/22,2045
2016/07/23,1362
2016/07/24,2808
2016/07/25,2338
2016/07/26,2943
2016/07/27,2343
2016/07/28,1948
2016/07/29,2028
2016/07/30,1618
2016/07/31,1574
2016/08/01,1862
2016/08/02,3703
2016/08/03,1734
2016/08/04,1466
2016/08/05,1850
2016/08/06,1036
2016/08/07,970
2016/08/08,1441
2016/08/09,1517
2016/08/10,1293
2016/08/11,1467
2016/08/12,1586
2016/08/13,1400
2016/08/14,1219
2016/08/15,1396
2016/08/16,1516
2016/08/17,1285
2016/08/18,1372
2016/08/19,1246
2016/08/20,978
2016/08/21,938
2016/08/22,968
2016/08/23,1294
2016/08/24,1296
2016/08/25,1485
2016/08/26,1590
2016/08/27,1103
2016/08/28,1288
2016/08/29,4367
2016/08/30,1240
2016/08/31,1228
2016/09/01,1287
2016/09/02,1191
2016/09/03,943
2016/09/04,884
2016/09/05,1012
2016/09/06,1872
2016/09/07,1645
2016/09/08,1492
2016/09/09,1618
2016/09/10,1882
2016/09/11,1272
2016/09/12,1291
2016/09/13,1453
2016/09/14,2093
2016/09/15,1963
2016/09/16,1498
2016/09/17,1691
2016/09/18,1310
2016/09/19,1818
2016/09/20,2688
2016/09/21,2490
2016/09/22,2824
2016/09/23,3588
2016/09/24,2011
2016/09/25,1739
2016/09/26,2414
2016/09/27,2841
2016/09/28,2583
2016/09/29,2935
2016/09/30,1915
2016/10/01,1485
2016/10/02,1556
2016/10/03,1836
2016/10/04,1996
2016/10/05,1738
2016/10/06,1940
2016/10/07,1830
2016/10/08,1573
2016/10/09,1403
2016/10/10,1398
2016/10/11,1669
2016/10/12,1481
2016/10/13,1713
2016/10/14,1833
2016/10/15,1615
2016/10/16,1224
2016/10/17,1483
2016/10/18,2008
2016/10/19,1892
2016/10/20,1537
2016/10/21,1251
2016/10/22,1205
2016/10/23,1050
2016/10/24,1345
2016/10/25,1437
2016/10/26,1657
2016/10/27,1561
2016/10/28,1652
2016/10/29,1608
2016/10/30,1420
2016/10/31,1636
2016/11/01,1685
2016/11/02,1686
2016/11/03,1929
2016/11/04,1621
2016/11/05,1455
2016/11/06,3091
2016/11/07,1377
2016/11/08,1496
2016/11/09,1656
2016/11/10,1548
2016/11/11,2105
2016/11/12,1525
2016/11/13,1948
2016/11/14,2687
2016/11/15,3038
2016/11/16,2341
2016/11/17,2645
2016/11/18,2802
2016/11/19,2282
2016/11/20,1957
2016/11/21,4974
2016/11/22,3026
2016/11/23,2440
2016/11/24,3073
2016/11/25,2533
2016/11/26,2231
2016/11/27,6856
2016/11/28,4254
2016/11/29,3263
2016/11/30,3429
2016/12/01,3644
2016/12/02,3164
2016/12/03,2247
2016/12/04,1852
2016/12/05,2076
2016/12/06,3178
2016/12/07,3804
2016/12/08,2433
2016/12/09,2236
2016/12/10,2034
2016/12/11,2187
2016/12/12,1959
2016/12/13,2874
2016/12/14,2608
2016/12/15,2306
2016/12/16,1920
2016/12/17,1919
2016/12/18,1898
2016/12/19,2955
2016/12/20,2904
2016/12/21,2514
2016/12/22,2557
2016/12/23,2213
2016/12/24,2168
2016/12/25,2092
2016/12/26,2460
2016/12/27,2280
2016/12/28,2142
2016/12/29,2424
2016/12/30,2272
2016/12/31,2161
2017/01/01,1791
2017/01/02,1751
2017/01/03,2639
2017/01/04,3452
2017/01/05,2896
2017/01/06,2283
2017/01/07,1653
2017/01/08,1734
2017/01/09,1968
2017/01/10,1847
2017/01/11,1661
2017/01/12,1611
2017/01/13,1739
2017/01/14,1446
2017/01/15,1820
2017/01/16,1817
2017/01/17,1821
2017/01/18,2604
2017/01/19,1887
2017/01/20,1648
2017/01/21,1416
2017/01/22,1596
2017/01/23,1924
