end,start,tweet_count
2021-08-01T00:00:00.000Z,2021-07-31T00:00:00.000Z,238671
2021-08-02T00:00:00.000Z,2021-08-01T00:00:00.000Z,244691
2021-08-03T00:00:00.000Z,2021-08-02T00:00:00.000Z,303252
2021-08-04T00:00:00.000Z,2021-08-03T00:00:00.000Z,348499
2021-08-05T00:00:00.000Z,2021-08-04T00:00:00.000Z,311958
2021-08-06T00:00:00.000Z,2021-08-05T00:00:00.000Z,343843
2021-08-07T00:00:00.000Z,2021-08-06T00:00:00.000Z,301749
2021-08-08T00:00:00.000Z,2021-08-07T00:00:00.000Z,339911
2021-08-09T00:00:00.000Z,2021-08-08T00:00:00.000Z,275598
2021-08-10T00:00:00.000Z,2021-08-09T00:00:00.000Z,273010
2021-08-11T00:00:00.000Z,2021-08-10T00:00:00.000Z,308148
2021-08-12T00:00:00.000Z,2021-08-11T00:00:00.000Z,306312
2021-08-13T00:00:00.000Z,2021-08-12T00:00:00.000Z,283588
2021-08-14T00:00:00.000Z,2021-08-13T00:00:00.000Z,320503
2021-08-15T00:00:00.000Z,2021-08-14T00:00:00.000Z,315144
2021-08-16T00:00:00.000Z,2021-08-15T00:00:00.000Z,296766
2021-08-17T00:00:00.000Z,2021-08-16T00:00:00.000Z,335857
2021-08-18T00:00:00.000Z,2021-08-17T00:00:00.000Z,260714
2021-08-19T00:00:00.000Z,2021-08-18T00:00:00.000Z,325160
2021-08-20T00:00:00.000Z,2021-08-19T00:00:00.000Z,337550
2021-08-21T00:00:00.000Z,2021-08-20T00:00:00.000Z,322613
2021-08-22T00:00:00.000Z,2021-08-21T00:00:00.000Z,261935
2021-08-23T00:00:00.000Z,2021-08-22T00:00:00.000Z,356774
2021-08-24T00:00:00.000Z,2021-08-23T00:00:00.000Z,383135
2021-08-25T00:00:00.000Z,2021-08-24T00:00:00.000Z,350430
2021-08-26T00:00:00.000Z,2021-08-25T00:00:00.000Z,337065
2021-08-27T00:00:00.000Z,2021-08-26T00:00:00.000Z,405713
2021-08-28T00:00:00.000Z,2021-08-27T00:00:00.000Z,378930
2021-08-29T00:00:00.000Z,2021-08-28T00:00:00.000Z,394592
2021-08-30T00:00:00.000Z,2021-08-29T00:00:00.000Z,375432
2021-08-31T00:00:00.000Z,2021-08-30T00:00:00.000Z,424320
